,titles,released,developers,publishers,genres
193,Asterix & Obelix XXL 2: Mission: Las Vegum,2005,Etranges Libellules,Atari,Platform
194,Asterix at the Olympic Games,2008,Etranges Libellules,Atari,"Platform, Sport, Adventure"
195,Asteroids,1998,Activision,Activision,"Shooter, Indie, Arcade"
196,Astonishia Story,2002,Sonnori,"Sonnori, Ubisoft","Role-playing (RPG), Strategy"
197,Astral Tournament,2001,Apus Software,Apus Software,"Strategy, Turn-based strategy (TBS)"
198,AstroPop,2004,PopCap Games,PopCap Games,Puzzle
199,Atari Anniversary Edition,2001,Digital Eclipse,Infogrames,"Platform, Quiz/Trivia, Arcade"
200,Atari Anthology,2004,Digital Eclipse,Atari,"Racing, Simulator, Sport, Strategy"
201,Athens 2004,2004,Eurocom,"Sony Computer Entertainment, Eidos Interactive",Sport
202,Atlantica Online,2008,NDOORS Interactive,NDOORS Interactive,"Role-playing (RPG), Strategy, Adventure"
203,Atlantis Evolution,2004,Atlantis Interactive Entertainment,The Adventure Company,"Point-and-click, Adventure"
204,Atlantis II,1999,Cryo Interactive,Dreamcatcher Interactive,"Point-and-click, Platform, Strategy, Adventure"
205,Atlantis III: The New World,2001,Cryo Interactive,Dreamcatcher Interactive,"Point-and-click, Platform, Strategy, Adventure"
206,Atlantis Sky Patrol,2006,Big Fish Studios,Big Fish Games,"Puzzle, Indie"
207,Atlantis The Lost Empire: Search for the Journal,2001,Zombie Inc.,Disney Interactive,Adventure
208,Atlantis The Lost Empire: Trial by Fire,2001,Zombie Inc.,Disney Interactive,Adventure
209,Atlantis Underwater Tycoon,2003,Activision Value,Activision Value,"Simulator, Strategy"
210,Atlantis: The Lost Tales,1997,Cryo Interactive,Dreamcatcher Interactive,"Puzzle, Adventure"
211,Atomic Bomberman,1997,Interplay Entertainment,Interplay Entertainment,"Puzzle, Arcade"
212,Attack on Pearl Harbor,2007,Legendo Entertainment,Legendo Entertainment,"Shooter, Simulator, Tactical"
213,Attack on Titan,2016,Omega Force,Koei Tecmo,Tactical
214,Attack on Titan 2,2018,Omega Force,Koei Tecmo,"Shooter, Role-playing (RPG)"
215,Audiosurf,2008,Dylan Fitterer,"Audiosurf, LLC","Music, Puzzle, Indie"
216,Auditorium,2012,Cipher Prime,Cipher Prime,"Music, Puzzle, Arcade"
217,Austin Powers Pinball,2002,Wildfire Studios,Gotham Games,Pinball
218,Australian Rules Football,2010,Big Ant Studios,Tru Blu Entertainment,Sport
219,Auto Assault,2006,NetDevil,NCsoft,Role-playing (RPG)
220,Avadon: The Black Fortress,2011,Spiderweb Software,Spiderweb Software,"Role-playing (RPG), Strategy, Adventure, Indie"
221,Avadon 2: The Corruption,2013,Spiderweb Software,Spiderweb Software,"Role-playing (RPG), Strategy, Indie"
222,Avatar: The Last Airbender,2006,"THQ, TOSE",THQ,"""Hack and slash/Beat em up"", Arcade"
223,Avencast: Rise of the Mage,2007,ClockStone,Lighthouse Interactive,"Role-playing (RPG), Adventure, Indie"
224,Avernum,2000,Spiderweb Software,Spiderweb Software,Adventure
225,Avernum: Escape from the Pit,2011,Spiderweb Software,Spiderweb Software,"Role-playing (RPG), Strategy, Indie"
226,Avernum 2,2000,Spiderweb Software,Spiderweb Software,"Role-playing (RPG), Strategy, Adventure, Indie"
227,Avernum 2: Crystal Souls,2015,Spiderweb Software,Spiderweb Software,"Role-playing (RPG), Strategy, Adventure, Indie"
228,Avernum 3,2002,Spiderweb Software,Spiderweb Software,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Adventure, Indie"
229,Avernum 4,2005,Spiderweb Software,Spiderweb Software,"Role-playing (RPG), Indie"
230,Avernum 5,2007,Spiderweb Software,Spiderweb Software,"Role-playing (RPG), Indie"
231,Avernum 6,2009,Spiderweb Software,Spiderweb Software,"Role-playing (RPG), Indie"
232,Axiom Verge,2015,Thomas Happ Games,Thomas Happ Games,"Shooter, Platform, Adventure, Indie"
233,Axis & Allies,1998,Hasbro Interactive,Hasbro Interactive,Strategy
234,Axis & Allies,2004,TimeGate Studios,Atari,Strategy
235,Ayakashi Ninden Kunoichiban,1997,Shoeisha,Shoeisha,Simulator
236,Azada,2007,Big Fish Studios,Big Fish Games,Adventure
237,Azada: Ancient Magic,2008,Big Fish Studios,Big Fish Games,"Puzzle, Adventure"
238,Aztaka,2009,Citeremis,Citeremis,"Platform, Role-playing (RPG), Indie"
239,Azur Lane: Crosswave,2019,Felistella,"Compile Heart, Idea Factory International","Arcade, Visual Novel"
240,B-17 Flying Fortress: The Mighty 8th,2000,Wayward Design,MicroProse/Hasbro Interactive,Simulator
241,Babysitting Mania,2008,iWin,"iWin, Majesco Entertainment",Simulator
242,Babyz,1999,Andrew Stern,Mindscape,Simulator
243,Back Track,1998,Telegames,Telegames,Racing
244,Backyard Baseball 2007,2006,Humongous Entertainment,Atari,Sport
245,Backyard Basketball 2007,2006,Atari,Atari,Sport
246,Backyard Football 08,2007,Humongous Entertainment,Atari,Sport
247,Backyard Football 09,2008,Humongous Entertainment,Atari,Sport
248,Backyard Soccer MLS Edition,2001,Humongous Entertainment,Atari Europe S.A.S.U.,Sport
249,Bad Boys: Miami Takedown,2004,Blitz Games,Empire Interactive,"Shooter, Adventure"
250,Bad Day L.A.,2006,Enlight,Enlight,Adventure
251,Bad Mojo,1996,Pulse Entertainment,"Acclaim Entertainment, Inc.",Platform
252,Baku Baku Animal,1995,Sega,Sega,Puzzle
253,Baldr Force,2002,GIGA Team Baldrhead,GIGA Co.,"""Hack and slash/Beat em up"", Visual Novel"
254,Baldurs Gate,1998,BioWare,Black Isle Studios/Interplay Entertainment,"Role-playing (RPG), Adventure"
255,Baldurs Gate II: Shadows of Amn,2000,BioWare,"Black Isle Studios, Interplay Entertainment",Role-playing (RPG)
256,Baldurs Gate II: Throne of Bhaal,2001,BioWare,Interplay Entertainment,"Role-playing (RPG), Strategy"
257,Baldurs Gate: Tales of the Sword Coast,1999,BioWare,"Black Isle Studios, Interplay Entertainment",Role-playing (RPG)
258,Ballance,2004,Cyparade,Atari,"Platform, Puzzle"
259,Ballistics,2001,Grin,Xicat Interactive,"Shooter, Indie"
260,Band of Bugs,2007,NinjaBee,Microsoft Game Studios,Strategy
261,Bandits: Phoenix Rising,2002,Grin,Pan Vision,"Shooter, Racing"
262,Bang! Gunship Elite,2000,RayLand,Red Storm Entertainment,"Simulator, Indie"
263,Bang! Howdy,2006,Three Rings Design,Three Rings Design,"Real Time Strategy (RTS), Strategy, Turn-based strategy (TBS)"
264,The Banner Saga,2014,Stoic Studio,Versus Evil,"Role-playing (RPG), Strategy"
265,The Banner Saga 2,2016,Stoic Studio,Versus Evil,"Role-playing (RPG), Strategy, Tactical, Adventure, Indie"
266,The Banner Saga 3,2018,Stoic Studio,Versus Evil,"Role-playing (RPG), Strategy"
267,Barbie as the Island Princess,2007,Ivolgamus,Activision,"Platform, Adventure"
268,Barbie Fashion Show: An Eye for Style,2008,Treyarch,Activision,Simulator
269,Barbie Horse Adventures: Riding Camp,2008,Pixel Tales,Activision,Adventure
270,Barbie Riding Club,1998,Human Code,Mattel Media,"Simulator, Sport"
271,Barbie Super Sports,1999,Runecraft,Mattel Media,Sport
272,The Bards Tale,2004,InXile Entertainment,Vivendi Universal Games,"Role-playing (RPG), Sport"
273,Barnyard,2006,Blue Tongue Entertainment,THQ,Shooter
274,Barrow Hill: Curse of the Ancient Circle,2006,Shadow Tor Studios,Shadow Tor Studios,"Point-and-click, Adventure, Indie"
275,The Basement Collection,2012,Edmund McMillen and Tyler Glaiel,Headup Games,"Platform, Strategy, Adventure, Indie"
276,Bastion,2011,Supergiant Games,Warner Bros. Interactive Entertainment,"Shooter, Tactical"
278,Battle Arena Toshinden 2,1995,"Tamsoft, Shintarou Nakaoka","Takara, Toshiaki Ota",Fighting
279,Battle Beast,1995,7th Level,BMG Interactive,Fighting
280,Battle Engine Aquila,2003,Lost Toys,Atari,"Shooter, Simulator"
281,Battle of Britain II: Wings of Victory,2005,A2A Simulations,"TRI Synergy, GMX Media",Simulator
282,Battle Isle: The Andosia War,2000,Cauldron Ltd.,Blue Byte,Strategy
283,Battle Raper,2002,Dreams,Illusion,Fighting
284,Battle Raper 2,2005,Illusion,Illusion,Fighting
285,Battle Realms,2001,Liquid Entertainment,Ubisoft,"Real Time Strategy (RTS), Strategy"
286,Battle Realms: Winter of the Wolf,2002,Liquid Entertainment/Crave,Ubisoft,"Real Time Strategy (RTS), Strategy"
