,titles,released,developers,publishers,genres
2144,MindRover,2000,CogniToy,CogniToy,Strategy
2145,Minerva,2005,Adam Foster,Adam Foster,"Shooter, Adventure"
2146,Minecraft,2011,Mojang,Mojang,Adventure
2147,Mini Desktop Racing,2005,Data Design Interactive,Metro3D,Racing
2148,Mini Ninjas,2009,IO Interactive,Eidos Interactive,"Platform, Adventure"
2149,Mirrors Edge,2008,EA Digital Illusions CE,Electronic Arts,"Platform, Adventure"
2150,Missile Command,1999,Meyer/Glass Interactive,Hasbro Interactive,Simulator
2151,MissionForce: CyberStorm,1996,Dynamix,Sierra Entertainment,"Strategy, Turn-based strategy (TBS)"
2152,MLB Front Office Manager,2009,Blue Castle Games,2K Sports,"Simulator, Sport"
2153,Moai Better Blues,2008,Telltale Games,Telltale Games,"Point-and-click, Adventure"
2154,Mob Enforcer,2004,Touchdown Entertainment,"ValuSoft, Kemco, GFI Russia, Russobit-M",Shooter
2155,Mobil 1 Rally Championship,1999,"Magnetic Fields, Creative Asylum Limited","Actualize, Electronic Arts","Racing, Simulator"
2156,Mobile Forces,2002,Rage Software,"Majesco Entertainment, Sold Out Software",Fighting
2157,Mobility,2001,Glamus,Glamus,Puzzle
2158,The Moment of Silence,2004,House of Tales,Digital Jesters,"Point-and-click, Adventure, Indie"
2159,Monato Esprit,2009,Gamasoft,Reality GapIT Territory,Role-playing (RPG)
2160,Monopoly,1995,Westwood Studios,Hasbro Interactive,"Strategy, Card & Board Game"
2161,Monopoly,2000,Artech Studios,Hasbro Interactive,"Strategy, Card & Board Game"
2162,Monopoly 2008,2007,"TikGames, LLC",Encore Software,"Strategy, Card & Board Game"
2163,Monopoly 3,2004,Artech Studios,Atari Europe,"Strategy, Quiz/Trivia"
2164,Monopoly Junior,1999,Minds-Eye Productions,Hasbro Interactive,Strategy
2165,Monopoly Star Wars,1997,Artech Digital Entertainment,Hasbro Interactive,Card & Board Game
2166,Monopoly Tycoon,2001,Deep Red Games,Infogrames,"Puzzle, Simulator, Strategy"
2167,Monster Hunter Frontier Online,2007,Capcom,Capcom,"Role-playing (RPG), ""Hack and slash/Beat em up"""
2168,Monster Jam,2007,Torus Games,Activision,Racing
2169,Monster Jam: Maximum Destruction,2002,Unique Development Studios,Ubisoft,Racing
2170,Monster Madness: Battle for Suburbia,2007,Artificial Studios,SouthPeak Games,Shooter
2171,Monster Truck Madness,1996,Terminal Reality,Microsoft,Racing
2172,Monster Truck Madness 2,1998,Terminal Reality,Microsoft Games,"Racing, Simulator, Sport"
2173,Monster Trux Extreme: Offroad Edition,2005,Data Design Interactive,BOLD Games,Racing
2174,Monsters vs. Aliens,2009,Beenox,Activision,Adventure
2175,"Monsters, Inc. Scream Team",2002,Artificial Mind and Movement,Disney Interactive,Platform
2176,Montezumas Return,1997,Utopia Technologies,"Software 2000, WizardWorks","Platform, Adventure"
2177,Monty Python & the Quest for the Holy Grail,1996,7th Level,7th Level,"Point-and-click, Puzzle, Adventure"
2178,Moon Tycoon,2001,Legacy Interactive,Anarchy Enterprises,"Simulator, Strategy"
2179,Mornings Wrath,2005,Ethereal Darkness Interactive,Ethereal Darkness Interactive,"Role-playing (RPG), Adventure"
2180,Morpheus,1998,Soap Bubble Productions,"Piranha Interactive Publishing, Tiburon Interactive Publishing","Platform, Puzzle, Strategy"
2181,Mortal Kombat 3,1996,Midway Games,GT Interactive Software Corp.,Fighting
2182,Mortal Kombat 4,1997,"Midway Games, Eurocom",Midway Games,Fighting
2183,Mortal Kombat Trilogy,1996,Avalanche Software LLC,Midway Games,Fighting
2184,Mortal Kombat X,2015,"NetherRealm Studios, High Voltage Software",Warner Bros. Interactive Entertainment.,Fighting
2185,Mortal Kombat 11,2019,"NetherRealm Studios, QLOC",Warner Bros. Interactive Entertainment.,Fighting
2186,Mortal Online,2009,Star Vault,Star Vault,Fighting
2187,Mosbys Confederacy,2008,Tilted Mill Entertainment,Tilted Mill Entertainment,Strategy
2188,Moto Racer,1997,Delphine Software International,Electronic Arts,Racing
2189,Moto Racer 2,1998,Delphine Software International,Delphine Software International/Electronic Arts,Racing
2190,Motocross Madness 2,2000,Rainbow Studios,Microsoft Games,Racing
2191,MotoGP 07,2007,Milestone srl,Milestone srl,"Racing, Simulator, Sport"
2192,MotoGP 08,2008,Milestone srl,Milestone srl,"Racing, Simulator, Sport"
2193,MotoGP 13,2013,Milestone srl,Milestone srl,"Racing, Sport"
2194,MotoGP 14,2014,Milestone srl,Milestone srl,"Racing, Simulator, Sport"
2195,MotoGP 15,2015,Milestone srl,Milestone srl,"Racing, Simulator, Sport"
2196,MotoGP 17,2017,Milestone srl,Milestone srl,"Racing, Simulator, Sport"
2197,MotoGP 18,2018,Milestone srl,Milestone srl,"Racing, Simulator, Sport"
2198,MotoGP 19,2019,Milestone srl,Milestone srl,"Racing, Simulator, Sport"
2199,MotoGP 20,2020,Milestone srl,Milestone srl,"Racing, Simulator, Sport"
2200,Motor City Online,2001,Electronic Arts,Electronic Arts,Racing
2201,Motorhead,1999,Digital Illusions CE,"Gremlin Interactive, Fox Interactive","Adventure, Indie"
2202,Mount & Blade,2008,TaleWorlds,Paradox Interactive,"Shooter, Real Time Strategy (RTS), Simulator, Strategy"
2203,Mount & Blade: Warband,2010,TaleWorlds,Paradox Interactive,"Role-playing (RPG), Simulator, Strategy, Indie"
2204,Mountain of Faith,2007,Team Shanghai Alice,Team Shanghai Alice,"Shooter, Indie"
2205,Movie Battles,2009,Movie Battles Team,Movie Battles Team,Turn-based strategy (TBS)
2206,The Movies,2005,Lionhead Studios,Activision,Shooter
2207,The Movies: Stunts & Effects,2006,Lionhead Studios,Activision,"Simulator, Strategy"
2208,Mr. Robot,2007,Moonpod,Moonpod,Adventure
2209,Mu Online,2003,Webzen,"Webzen, Digital Media Exchange","Fighting, Role-playing (RPG), Strategy, Turn-based strategy (TBS)"
2210,Multi Theft Auto,2005,MTA Team,MTA Team,"Simulator, Indie"
2211,Multiwinia,2008,Introversion Software,Introversion Software,"Real Time Strategy (RTS), Strategy, Indie"
2212,My Disney Kitchen,2002,Atlus,Disney Interactive,"Puzzle, Simulator"
2213,My Horse and Me,2007,W!Games,Atari,"Adventure, Indie"
2214,MySims,2007,EA Redwood Shores,Electronic Arts,Simulator
2215,Myst,1995,Cyan Worlds,Mindscape,"Point-and-click, Puzzle, Adventure, Indie"
2216,Myst III: Exile,2001,Presto Studios,Ubisoft,"Point-and-click, Puzzle, Adventure"
2217,Myst IV: Revelation,2004,Ubisoft Montreal,Ubisoft,"Puzzle, Adventure"
2218,Myst Online: Uru Live,2007,Cyan Worlds,UbisoftCyan WorldsGameTap,"Role-playing (RPG), Adventure"
2219,Myst V: End of Ages,2005,Cyan Worlds,Ubisoft,"Puzzle, Strategy, Adventure"
2220,Mysterious Journey II,2003,Detalion,DreamCatcher InteractiveThe Adventure Company,"Puzzle, Adventure"
2221,Mystery Case Files: Huntsville,2005,Big Fish Studios,Big Fish Games,"Puzzle, Adventure"
2222,Mystery Case Files: Madame Fate,2007,Big Fish Studios,Big Fish Games,"Puzzle, Adventure"
2223,Mystery Case Files: Prime Suspects,2006,Big Fish Studios,Big Fish Games,"Point-and-click, Puzzle, Adventure"
2224,Mystery Case Files: Ravenhearst,2006,Big Fish Studios,Big Fish Games,Adventure
2225,Mystery Case Files: Return to Ravenhearst,2008,Big Fish Studios,Big Fish Games,"Puzzle, Adventure"
2226,Mystery in London,2007,Big Fish Studios,Big Fish Games,"Puzzle, Adventure"
2227,The Mystery of the Druids,2001,House of Tales Entertainment,Dtp entertainmentFocusAkellaCDV Software,"Point-and-click, Adventure"
2228,Mystery P.I.: The Lottery Ticket,2007,SpinTop Games,PopCap Games,"Puzzle, Adventure"
2229,Mystic Inn,2006,Big Fish Studios,Big Fish Games,"Puzzle, Strategy"
2230,Myth: The Fallen Lords,1997,Bungie,Eidos Interactive,"Real Time Strategy (RTS), Role-playing (RPG), Strategy"
2231,Myth II: Soulblighter,1998,Bungie,Bungie,"Real Time Strategy (RTS), Strategy"
2232,Myth II: Chimera,1999,Bungie,Bungie,"Real Time Strategy (RTS), Strategy"
2233,Myth: The Total Codex,1999,Bungie,Bungie,Strategy
2234,Myth III: The Wolf Age,2001,MumboJumbo,God Games,Real Time Strategy (RTS)
2235,Myth Makers Super Kart GP,2006,Data Design Interactive,Data Design InteractiveConspiracy Entertainment,Racing
2236,Mytheon,2010,Petroglyph Games,True GamesGoa,Adventure
2237,N,2005,Metanet Software,Metanet Software,"Platform, Adventure"
2238,NAM,1998,TNT Team,GT Interactive,"Simulator, Strategy, Indie"
2239,Nancy Drew: Ghost Dogs Of Moon Lake,2002,Her Interactive,DreamCatcher,Adventure
2240,Nancy Drew: The Haunting of Castle Malloy,2008,Her Interactive,Her Interactive,Adventure
2241,Nancy Drew: The White Wolf of Icicle Creek,2007,Her Interactive,Her Interactive,"Point-and-click, Adventure"
2242,Nanosaur,1998,Pangea Software,Pangea Software,Shooter
2243,Napoleon: Total War,2010,The Creative Assembly,Sega,Strategy
2244,Narbacular Drop,2005,Nuclear Monkey Software,DigiPen,"Shooter, Platform, Puzzle"
2245,Narc,2008,VIS Entertainment,"Zoo Digital, zushi games ltd.","Shooter, Arcade"
2246,Narcissu,2005,stage-nana,insani,Adventure
2247,NASCAR Revolution,1999,Stormfront Studios,EA Sports,Racing
2248,NASCAR 2000,2000,"EA Sports, Stormfront Studios",EA Sports,"Racing, Simulator"
2249,NASCAR Racing,1994,Papyrus Design Group,Papyrus Design Group,Racing
2250,NASCAR Racing 2,1996,Papyrus Design Group,"Papyrus Design Group, Sierra On-Line","Racing, Simulator, Sport"
2251,NASCAR Craftsman Truck Series Racing,1999,Papyrus Design Group,Sierra On-Line,Racing
2252,NASCAR Legends,1999,Papyrus Design Group,Sierra Sports,"Racing, Simulator, Sport"
2253,NASCAR Racing 1999 Edition,1999,Papyrus Design Group,Sierra On-Line,"Racing, Simulator, Sport"
2254,NASCAR Racing 3,1999,Papyrus Design Group,Sierra On-Line,Racing
2255,NASCAR Racing 3 Craftsman Truck Series Expansion Pack,2000,Papyrus Design Group,Sierra Entertainment,Racing
2256,NASCAR Racing 4,2001,Papyrus Design Group,Sierra Entertainment,"Racing, Simulator, Sport"
2257,NASCAR Racing 2002 Season,2002,Papyrus Design Group,Sierra Entertainment,"Racing, Simulator, Sport"
2258,NASCAR Racing 2003 Season,2003,Papyrus Design Group,Sierra Entertainment,"Racing, Simulator, Sport"
2259,NASCAR SimRacing,2005,EA Tiburon,EA Sports,"Racing, Simulator, Sport"
2260,NASCAR Thunder 2003,2002,"EA Sports, Budcat Creations",Electronic Arts,"Racing, Simulator, Sport"
2261,NASCAR Thunder 2004,2003,EA Tiburon,EA Sports,"Racing, Simulator, Sport"
2262,The Nations,2001,JoWooD Productions,JoWooD Productions,"Real Time Strategy (RTS), Strategy, Indie"
2263,Natural Selection,2002,Unknown Worlds Entertainment,Unknown Worlds Entertainment,"Strategy, Indie"
2264,Natural Selection 2,2009,Unknown Worlds Entertainment,Unknown Worlds Entertainment,"Strategy, Indie"
2265,NBA 2K10,2009,Visual Concepts,2K Sports,"Simulator, Sport"
2266,NBA 2K11,2010,Visual Concepts,2K Sports,Sport
2267,NBA 2K12,2011,Visual Concepts,2K Sports,"Simulator, Sport, Strategy"
2268,NBA 2K13,2012,Visual Concepts,2K Sports,"Simulator, Sport, Strategy"
2269,NBA 2K14,2013,Visual Concepts,2K Sports,Sport
2270,NBA 2K15,2014,Visual Concepts,2K Sports,"Simulator, Sport"
2271,NBA 2K16,2015,Visual Concepts,2K Sports,Sport
2272,NBA 2K17,2016,Visual Concepts,2K Sports,Sport
2273,NBA 2K18,2017,Visual Concepts,2K Sports,Sport
2274,NBA 2K19,2018,Visual Concepts,2K Sports,Sport
2275,NBA 2K20,2019,Visual Concepts,2K Sports,Sport
2276,NBA Hangtime,1996,Midway Games,Midway Games,Sport
2277,NBA Live 97,1996,Electronic Arts,Electronic Arts,Sport
2278,NBA Live 98,1997,Electronic Arts,Electronic Arts,"Simulator, Sport"
2279,NBA Live 99,1998,NuFX,Electronic Arts,"Simulator, Sport"
2280,NBA Live 2000,1999,Electronic Arts Canada,Electronic Arts,"Simulator, Sport"
2281,NBA Live 2001,2000,Electronic Arts Canada,Electronic Arts,"Simulator, Sport"
2282,NBA Live 2002,2001,Electronic Arts Canada,Electronic Arts,"Simulator, Sport"
2283,NBA Live 2003,2002,EA Canada,Electronic Arts,Sport
2284,NBA Live 2004,2003,EA Canada,Electronic Arts,"Simulator, Sport"
2285,NBA Live 2005,2004,EA Canada,Electronic Arts,"Simulator, Sport"
2286,NBA Live 06,2005,EA Canada,Electronic Arts,"Simulator, Sport"
2287,NBA Live 07,2006,EA Canada,EA Sports,"Simulator, Sport"
2288,NBA Live 08,2007,"EA Canada, HB Studios Multimedia",EA Sports,"Simulator, Sport"
2289,Necronomicon: The Dawning of Darkness,2001,Wanadoo Edition,The Adventure Company,Adventure
2290,Necrobarista,2020,Route 59 Games,PlayismCoconut Island Games,"Point-and-click, Role-playing (RPG), Adventure, Indie, Visual Novel"
2291,NecroVisioN,2009,The Farm 51,505 Games,"Shooter, Arcade"
2292,Road & Track Presents: The Need for Speed,1996,EA Canada,Electronic Arts,Racing
2293,Need for Speed II,1997,"EA Seattle, EA Canada",Electronic Arts,"Racing, Simulator"
2294,Need for Speed III: Hot Pursuit,1998,EA Canada,Electronic Arts,"Racing, Simulator"
2295,Need for Speed: High Stakes,1999,EA Canada,Electronic Arts,"Racing, Simulator"
2296,Need for Speed: Porsche Unleashed,2000,EA Canada,Electronic Arts,"Racing, Simulator"
2297,Need for Speed: Hot Pursuit 2,2002,"Black Box Games/EA Black Box, EA Seattle",EA Games,"Racing, Simulator"
2298,Need for Speed: Collection,2003,Electronic Arts,Electronic Arts,Racing
2299,Need for Speed: Collection,2007,"Electronic Arts Black Box, EA Canada",Electronic Arts,Racing
2300,Need for Speed: Underground,2003,EA Black Box,EA Games,Racing
2301,Need for Speed: Underground 2,2004,EA Black Box,EA Games,"Racing, Simulator"
2302,Need for Speed: Most Wanted,2005,EA Canada,Electronic Arts,"Racing, Simulator"
2303,Need for Speed: Most Wanted (Black Edition),2005,EA Canada,Electronic Arts,Racing
2304,Need for Speed: Carbon,2006,"EA Black Box, EA UK",Electronic Arts,"Racing, Arcade"
2305,Need for Speed: Carbon (Collectors Edition),2006,Electronic Arts Black Box,Electronic Arts,"Racing, Arcade"
2306,Need for Speed: ProStreet,2007,EA Black Box,Electronic Arts,"Racing, Simulator, Sport"
2307,Need for Speed: Undercover,2008,EA Black Box,Electronic Arts,"Racing, Arcade"
2308,Need for Speed: Shift,2009,Slightly Mad Studios,Electronic Arts,"Racing, Simulator"
2309,Need for Speed: World,2009,"EA Black Box, EA Singapore",Electronic Arts,"Racing, Simulator"
2310,Need for Speed: Hot Pursuit,2010,Criterion Games,Electronic Arts,"Racing, Simulator"
2311,Need for Speed: Shift 2 Unleashed,2011,Slightly Mad Studios,Electronic Arts,"Racing, Simulator"
2312,Need for Speed: The Run,2011,"EA Black Box, Firebrand Games",Electronic Arts,Racing
2313,Need for Speed: Most Wanted (2012),2012,Criterion Games,Electronic Arts,"Racing, Adventure"
2314,Need for Speed Rivals,2013,"Ghost Games, Criterion Games",Electronic Arts,Racing
2315,Need for Speed (2015),2015,Ghost Games,Electronic Arts,"Racing, Simulator, Adventure, Arcade"
2316,Need for Speed Payback,2017,Ghost Games,Electronic Arts,"Racing, Sport"
2317,Need for Speed Heat,2019,Ghost Games,Electronic Arts,Racing
2318,Neighbours from Hell,2003,JoWood Productions,JoWood Productions,"Strategy, Adventure, Arcade"
2319,Neighbours from Hell 2: On Vacation,2006,JoWood Productions,Cinemaware,"Strategy, Adventure, Arcade"
2321,Neocron,2002,Reakktor Media GmbH,CDV Software,"Fighting, Shooter, Platform, Role-playing (RPG)"
2322,Neon Genesis Evangelion: Ayanami Raising Project,2001,"Gainax, BROCCOLI",Gainax,"Racing, Simulator"
2323,Neon Genesis Evangelion: Iron Maiden,1998,Gainax,Bandai,"Adventure, Visual Novel"
2324,Neon Genesis Evangelion: Iron Maiden 2nd,2005,Gainax,BROCCOLI,"Adventure, Visual Novel"
2325,Neopets Puzzle Adventure,2008,"Griptonite Games, Infinite Interactive",Capcom,"Puzzle, Adventure"
2326,NetHack,2003,The NetHack DevTeam,The NetHack DevTeam,Adventure
2327,Nethergate,1999,Spiderweb Software,Spiderweb Software,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Indie"
2328,Nethergate: Resurrection,2007,Spiderweb Software,Spiderweb Software,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Indie"
2329,netKar Pro,2006,Kunos Simulazioni,Kunos Simulazioni,"Racing, Simulator"
2331,NetStorm: Islands At War,1997,Titanic Entertainment,Activision,"Real Time Strategy (RTS), Strategy"
2332,Network Q RAC Rally Championship,1999,Magnetic Fields,Actualize,"Racing, Sport"
2333,The Neverhood,1996,The Neverhood,DreamWorks Interactive,"Point-and-click, Puzzle, Adventure"
2334,Neverwinter Nights,2002,BioWare,Infogrames/Atari,"Role-playing (RPG), Adventure"
2335,Neverwinter Nights 2,2006,Obsidian Entertainment,Atari,"Role-playing (RPG), Adventure"
2336,Neverwinter Nights 2: Mask of the Betrayer,2007,Obsidian Entertainment,Atari,"Role-playing (RPG), Tactical"
2337,Neverwinter Nights 2: Mysteries of Westgate,2009,Ossian Studios,Atari,"Role-playing (RPG), Adventure"
2338,Neverwinter Nights 2: Storm of Zehir,2008,Obsidian Entertainment,Atari,Role-playing (RPG)
2339,Neverwinter Nights: Pirates of the Sword Coast,2005,BioWare,Atari,"Role-playing (RPG), Adventure"
2340,The New Adventures of the Time Machine,2000,Cryo Interactive,Cryo Interactive,Adventure
2341,New World Order,2003,Termite Games,Strategy First,Shooter
2342,New York Race,2001,Kalisto Entertainment,Wanadoo Edition,"Puzzle, Racing, Adventure"
2343,Nexuiz,2009,Alientrap,Alientrap,"Shooter, Arcade"
2344,Nexus: The Jupiter Incident,2004,Mithis Entertainment,Vivendi Universal,"Role-playing (RPG), Simulator, Strategy, Tactical, Indie"
2345,Nexus: The Kingdom of the Winds,1996,NEXON Inc.,KRU Interactive,Role-playing (RPG)
2346,NFL Blitz,1997,Midway Games,Midway Games,"Sport, Arcade"
2347,NFL GameDay 99,1998,Red Zone Interactive,989 Sports,"Simulator, Sport"
2348,NFL Head Coach,2006,EA Tiburon,EA Sports,"Simulator, Sport, Strategy"
2349,NHL 97,1996,EA Canada,EA Sports,Sport
2350,NHL 98,1997,EA Canada,EA Sports,Sport
2351,NHL 99,1998,EA Canada,EA Sports,Sport
2352,NHL 2000,1999,EA Canada,EA Sports,Sport
2353,NHL 2001,2000,EA Canada,EA Sports,Sport
2354,NHL 2002,2001,EA Canada,EA Sports,Sport
2355,NHL 2003,2002,EA Sports,EA Sports,Sport
2356,NHL 2004,2003,EA Canada,EA Sports,Sport
2357,NHL 2005,2004,"EA Canada, HB Studios",EA Sports,Sport
2358,NHL 06,2005,"EA Canada, HB Studios",EA Sports,Sport
2359,NHL 07,2006,EA Montreal,EA Sports,"Simulator, Sport"
2360,NHL 08,2007,HB Studios,EA Sports,Sport
2361,NHL 09,2008,HB Studios,EA Sports,Sport
2362,NHL Eastside Hockey Manager,2004,Sports Interactive,Sega,"Simulator, Sport"
2363,NHL Eastside Hockey Manager 2007,2006,Sports Interactive,Sega,"Simulator, Sport"
2364,Nibiru: Age of Secrets,2005,Future Games,The Adventure Company,"Puzzle, Adventure"
2365,Nicktoons Basketball,2009,Digital Eclipse,ValuSoft,Sport
2366,Nicktoons Racing,2000,Software Creations,Hasbro Interactive,Racing
2367,Nicktoons Winners Cup Racing,2006,Pronto Games,ValuSoft,Racing
2368,Night at the Museum: Battle of the Smithsonian,2009,Amaze Entertainment,Majesco Entertainment,"Platform, Adventure"
2369,Night of the Raving Dead,2008,Telltale Games,Telltale Games,"Point-and-click, Adventure"
2370,Night Watch,2005,Nival Interactive,CDV Software Entertainment,Racing
2371,Nightlong: Union City Conspiracy,1998,"Team17, Trecision",Balmoral Software,"Point-and-click, Adventure"
2372,Nightmare Creatures,1997,Kalisto Entertainment,Activision,Adventure
2374,Nikopol: Secrets of the Immortals,2008,White Birds Productions,Got Game Entertainment,"Point-and-click, Adventure, Indie"
2375,Ninja Reflex,2008,Sanzaru Games,"Nunchuck Games, Electronic Arts, Valve",Indie
2376,Ninjabread Man,2005,Data Design Interactive,"Data Design Interactive, Conspiracy Entertainment","Platform, Adventure"
2377,No One Lives Forever 2: A Spy in H.A.R.M.s Way,2002,Monolith Productions,Sierra Entertainment,Shooter
2378,Noctis,2000,Alessandro Ghignola,Self-published,"Fighting, Sport"
2379,Nocturnal Illusion,1995,Apricot,"Excellents Japan, Jast","Strategy, Adventure"
2380,Nocturne,1999,Terminal Reality,Gathering of Developers,"Adventure, Indie"
2381,Normality,2011,Gremlin Interactive,Interplay,Visual Novel
2382,Nosferatu: The Wrath of Malachi,2003,Idol FX,iGames Publishing,"Shooter, Adventure"
2383,Nostradamus: The Last Prophecy,2007,"Kheops Studio, Mzone Studio, TOTM Studio","Elektrogames, Kheops Studio, Mzone Studio, TOTM Studio, MC2, Encore Games",Adventure
2384,Nox,2000,Westwood Studios,Electronic Arts,"Role-playing (RPG), Adventure"
2385,NRL Rugby League,2003,Sidhe Interactive,Home Entertainment Suppliers,Sport
2386,O.D.T.,1998,Psygnosis,Psygnosis,Adventure
2387,O.R.B: Off-World Resource Base,2002,Strategy First,"Strategy First, Mindscape",Strategy
2388,Oasis,2005,Mind Control Software,PlayFirst,Indie
2389,ObsCure,2004,Hydravision Entertainment,DreamCatcher Interactive,"Adventure, Indie"
2390,ObsCure II,2008,Hydravision Entertainment,Playlogic Entertainment,Adventure
2391,Obsidian,1996,Rocket Science Games,SegaSoft,"Role-playing (RPG), Strategy, Tactical"
2392,Oceanhorn: Monster of Uncharted Seas,2015,Cornfox & Bros.,FDG Entertainment,"Role-playing (RPG), Adventure, Indie"
2393,Oceanhorn 2: Knights of the Lost Realm,2017,Cornfox & Bros.,FDG Entertainment,"Role-playing (RPG), Adventure"
2394,Octogeddon,2018,All Yes Good,All Yes Good,"Strategy, Indie, Arcade"
2395,Oddworld: Abes Exoddus,1998,Oddworld Inhabitants,GT Interactive,"Platform, Puzzle, Adventure"
2396,Oddworld: Abes Oddysee,1997,Oddworld Inhabitants,GT Interactive,"Platform, Puzzle, Adventure"
2397,Oddworld: New n Tasty!,2015,Just Add Water,Oddworld Inhabitants,Platform
2398,Odyssey: The Search for Ulysses,2000,Cryo Interactive,Cryo Interactive,Adventure
2399,The Office,2009,MumboJumbo,NBC,Indie
2400,Oh No! More Lemmings,1995,DMA Design,Psygnosis,"Puzzle, Strategy"
2401,Oh...Sir! The Hollywood Roast,2017,Vile Monarch,Gambitious,"Simulator, Adventure, Indie, Arcade"
2402,Oh...Sir! The Insult Simulator,2017,Vile Monarch,Gambitious,"Simulator, Indie, Arcade"
2404,The Omega Stone,2003,Omni Creative,DreamCatcher Interactive,Adventure
2405,Omikron: The Nomad Soul,1999,Quantic Dream,Eidos Interactive,"Fighting, Shooter, Role-playing (RPG), Adventure"
2406,One Must Fall: Battlegrounds,2003,Diversions Entertainment,Diversions Publishing,Fighting
2407,One Piece: Pirate Warriors 3,2015,Omega Force,Bandai Namco Entertainment,"""Hack and slash/Beat em up"""
2408,One Piece: Burning Blood,2016,Spike Chunsoft,Bandai Namco Entertainment,Fighting
2409,onEscapee,1997,"Invictus Games, Ltd.",Sadeness Software,"Platform, Adventure"
2410,Oni,2001,Bungie,Gathering of Developers,"Puzzle, Adventure"
2411,Onimusha 3: Demon Siege,2004,Capcom,Capcom,Adventure
2412,Onimusha: Warlords,2001,Capcom,Capcom,"""Hack and slash/Beat em up"", Adventure"
2413,Online Bomberman,2004,"Hudson Soft, MGAME Corp.","Wizgate, Fullerton",Arcade
2415,Open Kart,2001,Microids,Microids,Racing
2417,Operation Flashpoint: Cold War Crisis,2001,Bohemia Interactive Studio,Codemasters,"Shooter, Simulator, Strategy, Tactical"
2418,Operation Flashpoint: Dragon Rising,2009,Codemasters,Codemasters,"Shooter, Puzzle, Simulator, Strategy, Tactical"
2419,Operation: Matriarchy,2005,MADIA Entertainment,Buka Entertainment,Shooter
2420,Operation Neptune,1995,The Learning Company,The Learning Company,Arcade
2421,The Operative: No One Lives Forever,2000,Monolith Productions,Fox Interactive,Shooter
2422,Oppai Slider 2,2005,Illusion,Illusion,"Simulator, Adventure"
2423,The Orange Box,2007,Valve,Valve,"Shooter, Puzzle"
2426,Order of War,2009,Wargaming,Square Enix,Adventure
2427,The Oregon Trail,1996,MECC,Brøderbund,"Simulator, Adventure"
2428,The Oregon Trail II,1995,MECC,Softkey,"Simulator, Adventure"
2429,The Oregon Trail 3rd Edition,1997,MECC,MECC,"Simulator, Adventure"
2430,Oretachi ni Tsubasa wa Nai,2009,Navel,Navel,Visual Novel
2431,Ori and the Blind Forest,2015,Moon Studios,Microsoft Studios,"Platform, Adventure, Indie"
2432,Original War,2001,Altar Interactive,Virgin Interactive,"Platform, Adventure"
2433,The Orion Conspiracy,1995,Divide By Zero,Domark,"Point-and-click, Adventure"
2434,Orion: Prelude,2014,Spiral Game Studios,Spiral Game Studios,"Adventure, Indie"
2435,Orlys Draw-A-Story,1997,ToeJam & Earl Productions,Broderbund,Point-and-click
2436,Osmos,2009,Hemisphere Games,Hemisphere Games,"Platform, Puzzle"
2437,Ostrich Island,2015,MeDungeon Ltd.,MeDungeon Ltd.,"Role-playing (RPG), Adventure, Indie"
2438,Out of the Park Baseball,2008,OOTP Developments,OOTP Developments,"Simulator, Sport, Strategy, Indie"
2439,Outcast,1999,Appeal,Infogrames,"Role-playing (RPG), Adventure"
2440,The Outforce,2000,O3 Games,"Pan Interactive, Strategy First","Real Time Strategy (RTS), Strategy"
2441,Outlast,2013,Red Barrels,Red Barrels,Strategy
2442,Outlast 2,2017,Red Barrels,Red Barrels,"Adventure, Indie"
2443,Outlaw Golf,2002,Hypnotix,Global Star Software,Sport
2444,Outlaws,1997,LucasArts,LucasArts,"Adventure, Indie"
2445,Outlive,2001,Continuum Entertainment,"Continuum Entertainment, Take-Two Interactive","Adventure, Indie"
2446,Outpost Kaloki,2004,NinjaBee,Microsoft Game Studios,"Simulator, Strategy"
2447,OutRun 2006: Coast 2 Coast,2006,Sumo Digital,Sega,Racing
2448,Outwars,1998,SingleTrac,Microsoft,Shooter
2449,Over the Hedge,2006,Edge of Reality,Activision,Simulator
2450,Overboard!,1997,Psygnosis,Psygnosis,"Role-playing (RPG), Adventure, Arcade"
2451,Overcooked,2016,Ghost Town Games,Team17,"Simulator, Indie"
2452,Overclocked: A History of Violence,2008,House of Tales,Lighthouse Interactive,"Point-and-click, Adventure, Indie"
2453,Overlord,2007,Triumph Studios,Codemasters,"Puzzle, ""Hack and slash/Beat em up"""
2454,Overlord II,2009,Triumph Studios,Codemasters,Strategy
2455,Overlord: Fellowship of Evil,2015,Triumph Studios,Codemasters,"Role-playing (RPG), Adventure"
2456,Overlord: Raising Hell,2008,Triumph Studios,Codemasters,"Role-playing (RPG), Strategy, ""Hack and slash/Beat em up"""
2457,Overwatch,2016,Blizzard Entertainment,Blizzard Entertainment,"Shooter, Role-playing (RPG), Strategy"
2458,Pac-Man World 2,2002,"Namco, Full Fat","Namco, Zoo Digital Publishing, Hip Games","Platform, Racing, Adventure"
2459,Pac-Man World 3,2005,Blitz Games,Namco,Platform
2460,Pac-Man World Rally,2006,Smart Bomb Interactive,Namco Bandai Games,Racing
2461,Pac-Man: Adventures in Time,2000,Creative Asylum,Hasbro Interactive,Arcade
2462,Pacific Fighters,2004,1C Company,Ubisoft,Simulator
